ICAO code,MTOW [kg],MTOW group
A10,22700,0
A124,405060,5
A19N,75500,1
A20N,79000,1
A21N,97000,1
A306,163000,2
A30B,165000,2
A310,142000,1
A318,59000,0
A319,64000,0
A320,68000,0
A321,83000,1
A332,242000,3
A333,242000,3
A337,227000,3
A338,247000,3
A339,251000,3
A342,253500,3
A343,276700,3
A345,371950,4
A346,367400,4
A359,270000,3
A35K,308000,4
A388,575000,7
A400,141000,1
AN12,61000,0
AN72,34500,0
ASTR,10660,0
AT43,16700,0
AT44,16700,0
AT45,18600,0
AT46,18600,0
AT72,21500,0
AT73,21500,0
AT75,22800,0
AT76,22800,0
B190,7770,0
B2,170550,2
B37M,80290,1
B38M,82190,1
B39M,88310,1
B461,38100,0
B462,42180,0
B52,221350,2
B703,151320,2
B712,53520,0
B720,106000,1
B721,72500,0
B722,78000,1
B732,52390,0
B733,63000,0
B734,68000,0
B735,60000,0
B736,66000,0
B737,70000,0
B738,79000,1
B739,85000,1
B741,340200,4
B742,377840,5
B743,377840,5
B744,396900,5
B748,447700,5
B752,116000,1
B753,124000,1
B762,142880,1
B763,159000,2
B764,204000,2
B772,297560,3
B773,299370,3
B778,351530,4
B779,351530,4
B77L,347450,4
B77W,351800,4
B788,228000,3
B789,254000,3
B78X,254000,3
BA11,39460,0
BCS1,59000,0
BCS3,65000,0
BLCF,364230,4
C130,70310,0
C160,51000,0
C17,265350,3
C212,7700,0
C25B,6290,0
C25C,7761,0
C30J,70310,0
C525,4900,0
C56X,9200,0
C650,10430,0
C680,14000,0
C68A,13970,0
C700,17917,0
C750,16370,0
CL30,17620,0
CL35,18420,0
CL60,21590,0
CN35,16500,0
CRJ1,21520,0
CRJ2,21520,0
CRJ7,33000,0
CRJ9,36500,0
CVLP,18960,0
CVLT,26540,0
D328,13990,0
DC10,263080,3
DC3,11430,0
DC3S,11430,0
DC6,48530,0
DC87,152000,2
DC91,41140,0
DC93,48990,0
DC95,54880,0
DH8A,15650,0
DH8B,16470,0
DH8C,18640,0
DH8D,28000,0
DHC7,19960,0
E120,11990,0
E135,20200,0
E145,22000,0
E170,36000,0
E190,48000,0
E195,52290,0
E290,56400,0
E295,61500,0
E35L,20000,0
E45X,24100,0
E50P,4800,0
E545,16200,0
E550,17400,0
E55P,8150,0
E75L,38790,0
E75S,37500,0
F100,46000,0
F15,36740,0
F16,19190,0
F18H,25400,0
F18S,29940,0
F22,37870,0
F2TH,19230,0
F900,22230,0
FA10,8500,0
FA20,13000,0
FA50,18010,0
FA7X,31750,0
FA8X,33110,0
G150,11840,0
G280,17960,0
GA5C,36110,0
GA6C,42910,0
GALX,16170,0
GL5T,41960,0
GL7T,48190,0
GLEX,45130,0
GLF2,28120,0
GLF3,31620,0
GLF4,33200,0
GLF5,41050,0
GLF6,45180,0
H25A,11340,0
H25B,12700,0
H25C,14110,0
HA4T,17920,0
IL76,170000,2
J328,15660,0
JS41,10890,0
K35R,146280,1
L29B,20180,0
LJ35,8300,0
LJ40,9530,0
LJ45,9750,0
LJ55,8850,0
LJ60,10320,0
LJ70,9750,0
LJ75,9750,0
MD11,273300,3
MD81,63500,0
MD82,67810,0
MD83,72570,0
MD87,67810,0
MD88,67810,0
MD90,70760,0
P3,61230,0
P8,85820,1
PC24,8300,0
R721,76660,1
R722,89360,1
RJ1H,46040,0
RJ85,44000,0
SB20,22800,0
SBR1,9150,0
SBR2,10430,0
SF34,12700,0
SH33,10390,0
SH36,12300,0
SU95,45880,0
V22,27440,0
WW24,10660,0
